model,n_seeds,fp32_mean,fp32_sd,int8_mean,int8_sd,params,int8_kb,mcu_fit,config_ok,config_note
1a_baseline,9,92.90,0.62,92.92,0.59,"1,638,700",1629.9,False,False,mels=64 drop=None warm=70 split=80_10_10
1b_baseline,6,92.34,0.82,92.39,0.90,"252,300",289.7,True,Partial (6/3 seeds),
1c_dscnn,3,93.75,1.05,93.61,0.73,"303,324",376.9,True,True,
1d_dscnn,2,93.34,0.78,93.41,0.88,"255,180",294.8,True,Partial (2/3 seeds),
1e_dscnn,3,94.12,0.64,94.12,0.35,"303,324",377.2,True,True,
1f_dscnn,3,93.80,0.40,93.61,0.60,"364,389",455.3,True,True,
1g_dscnn,3,94.26,0.35,94.21,0.44,"279,180",371.8,True,True,
1h_dscnn,3,94.03,0.78,93.89,0.64,"420,645",529.3,False,True,
1i_mbv2,3,93.89,0.42,94.03,0.50,"186,484",258.7,True,True,
1j_mbv3,6,94.56,0.40,94.63,0.49,"193,396",267.1,True,Partial (6/3 seeds),
1k_mbv3,3,94.58,0.14,94.44,0.28,"499,972",650.0,False,True,
1m_nanodepthwise,3,84.44,1.11,84.49,0.84,"41,996",62.9,True,True,
1p_mbv3,3,94.68,0.85,94.68,0.77,"193,396",269.3,True,True,
1q_efficientnet,3,94.31,0.64,94.35,0.71,"156,354",219.9,True,True,
1r_efficientnetb0,9,96.00,0.61,92.87,1.53,"4,380,591",5126.6,False,False,mels=None drop=None warm=None split=80_10_10; mels=None drop=None warm=None split=70_15_15; mels=None drop=None warm=None split=75_10_15
2a_tcn,3,88.89,1.93,88.84,1.88,"205,836",268.3,True,True,
2b_tcn,3,81.62,2.86,81.34,2.86,"105,484",139.7,True,True,
2c_tcn,3,90.97,1.05,91.06,0.90,"804,876",877.3,False,True,
2d_tcn,3,89.68,0.42,89.91,0.49,"256,012",332.5,True,True,
2e_tcn,3,89.49,0.70,89.44,0.50,"140,300",204.3,True,True,
2f_tcn,3,89.58,0.64,89.63,0.77,"336,908",396.3,True,True,
2g_tcn,3,92.92,0.28,92.92,0.14,"205,836",266.1,True,True,
2h_tcn,3,85.42,0.72,85.09,0.79,"40,972",82.8,True,True,
4a_squeezenet,3,92.45,0.49,92.22,0.36,"736,332",809.5,False,False,mels=64 drop=0.2 warm=50 split=80_10_10
4b_shufflenetv2,1,89.44,,89.44,,"2,136,398",2299.2,False,False,mels=64 drop=0.2 warm=50 split=80_10_10
4c_shufflenetv2,3,88.52,1.62,88.66,1.53,"365,684",476.3,True,False,mels=64 drop=0.2 warm=50 split=80_10_10
4d_nanodepthwise,1,85.28,,84.72,,"41,996",62.9,True,False,mels=64 drop=0.2 warm=50 split=80_10_10
4e_nanodepthwise,1,76.94,,76.67,,"4,556",13.9,True,False,mels=64 drop=0.1 warm=50 split=80_10_10
